dataset_id,kind,source_doi_count,scholarly_unique_titles,scholarly_doi_hits,opencite_unique_titles,opencite_doi_hits,intersection_by_title,intersection_by_doi,scholarly_only,opencite_only,opencite_errors
ds000117,ds,1,75,34,0,0,0,0,75,0,0
ds000246,ds,2,2,0,100,100,0,0,2,100,0
ds000247,ds,3,5,3,100,99,2,0,3,98,0
ds000248,ds,3,5,0,136,131,0,0,5,136,0
ds001784,ds,3,3,1,116,115,1,0,2,115,0
ds001785,ds,1,2,0,1,1,1,0,1,0,0
ds001787,ds,1,12,6,0,0,0,0,12,0,0
ds001810,ds,3,6,2,152,148,1,1,5,151,0
ds001849,ds,2,3,1,43,43,1,0,2,42,0
ds001971,ds,1,2,0,1,1,1,0,1,0,0
ds002001,ds,1,5,2,0,0,0,0,5,0,0
ds002034,ds,2,7,1,15,15,2,0,5,13,0
nm000103,nm,3,0,0,174,172,0,0,0,174,0
nm000115,nm,3,0,0,267,259,0,0,0,267,0
nm000121,nm,4,0,0,233,233,0,0,0,233,0
