dataset_id,doi,source_field
ds000117,10.18112/openneuro.ds000117.v1.1.0,DatasetDOI
ds000117,pmid:25977808,HowToAcknowledge
ds000117,pmid:25977808,ReferencesAndLinks
ds000246,10.18112/openneuro.ds000246.v1.0.1,DatasetDOI
ds000246,10.3389/fnins.2019.00076,ReferencesAndLinks
ds000247,10.18112/openneuro.ds000247.v1.0.2,DatasetDOI
ds000247,10.1016/j.neuroimage.2015.04.028,HowToAcknowledge
ds000247,10.1016/j.neuroimage.2015.04.028,ReferencesAndLinks
ds000248,10.18112/openneuro.ds000248.v1.2.4,DatasetDOI
ds000248,10.1016/j.neuroimage.2014.02.017,ReferencesAndLinks
ds000248,10.3389/fnins.2013.00267,ReferencesAndLinks
ds001784,10.18112/openneuro.ds001784.v1.1.2,DatasetDOI
ds001784,10.1038/s41467-019-09557-4,ReferencesAndLinks
ds001784,10.1016/j.biopsych.2015.10.029,ReferencesAndLinks
ds001785,10.18112/openneuro.ds001785.v1.1.1,DatasetDOI
ds001787,10.18112/openneuro.ds001787.v1.1.1,DatasetDOI
ds001787,pmid:27815577,ReferencesAndLinks
ds001810,10.18112/openneuro.ds001810.v1.1.0,DatasetDOI
ds001810,10.1016/j.neuroimage.2016.03.065,ReferencesAndLinks
ds001810,10.1016/j.neuroimage.2018.10.025,ReferencesAndLinks
ds001849,10.18112/openneuro.ds001849.v1.0.2,DatasetDOI
ds001849,10.1371/journal.pone.0216185,HowToAcknowledge
ds001971,10.18112/openneuro.ds001971.v1.1.1,DatasetDOI
ds002001,10.18112/openneuro.ds002001.v1.0.0,DatasetDOI
ds002034,10.18112/openneuro.ds002034.v1.0.3,DatasetDOI
ds002034,10.1007/s10548-019-00725-9,ReferencesAndLinks
ds002158,10.18112/openneuro.ds002158.v1.0.2,DatasetDOI
ds002158,10.1073/pnas.1918335117,HowToAcknowledge
ds002158,10.1073/pnas.1918335117,ReferencesAndLinks
ds002336,10.18112/openneuro.ds002336.v2.0.2,DatasetDOI
