dataset_id,number_of_citations
ds000246,2.0
ds000117,82.0
ds000247,5.0
ds000248,5.0
ds001785,2.0
ds001784,3.0
ds001787,12.0
ds001810,6.0
ds001849,3.0
ds001971,1.0
ds001868,0.0
ds002094,31.0
ds002158,3.0
ds002001,5.0
ds002034,6.0
ds002181,1.0
ds002312,0.0
ds002338,15.0
ds002550,2.0
ds002578,3.0
ds002336,8.0
ds002218,1.0
ds002680,8.0
ds002691,2.0
ds002712,2.0
ds002718,12.0
ds002720,2.0
ds002724,2.0
ds002721,14.0
ds002723,3.0
ds002722,3.0
ds002761,1.0
ds002725,4.0
ds002799,13.0
ds002791,0.0
ds002778,78.0
ds002833,0.0
ds002893,2.0
ds002844,0.0
ds002908,1.0
ds003029,30.0
ds003004,11.0
ds003061,9.0
ds003078,2.0
ds002885,1.0
ds003039,2.0
ds003082,7.0
ds003104,1.0
ds003195,4.0
ds003194,3.0
ds003190,3.0
ds003352,5.0
ds003343,1.0
ds003374,4.0
ds003380,2.0
ds003392,1.0
ds003420,2.0
ds003483,2.0
ds003490,18.0
ds003498,7.0
ds003505,8.0
ds003506,4.0
ds003509,8.0
ds003516,2.0
ds003474,9.0
ds003421,3.0
ds003458,0.0
ds003478,41.0
ds003517,5.0
ds003519,3.0
ds003518,0.0
ds003522,5.0
ds003523,3.0
ds003552,0.0
ds003555,10.0
ds003565,3.0
ds003568,7.0
ds003574,2.0
ds003602,0.0
ds003620,4.0
ds003626,7.0
ds003570,1.0
ds003638,1.0
ds003633,2.0
ds003645,3.0
ds003655,5.0
ds003670,7.0
ds003688,13.0
ds003682,2.0
ds003690,6.0
ds003702,4.0
ds003694,1.0
ds003703,1.0
ds003708,1.0
ds003739,5.0
ds003710,1.0
ds003722,0.0
ds003751,7.0
ds003753,0.0
ds003766,1.0
ds003768,21.0
ds003774,8.0
ds003800,4.0
ds003775,12.0
ds003801,2.0
ds003805,3.0
ds003810,2.0
ds003822,0.0
ds003816,2.0
ds003825,3.0
ds003844,0.0
ds003846,5.0
ds003848,2.0
ds003876,3.0
ds003885,3.0
ds003922,1.0
ds003887,3.0
ds003944,8.0
ds003969,3.0
ds004000,9.0
ds003987,1.0
ds003947,8.0
ds004011,1.0
ds004012,1.0
ds004015,3.0
