,0
ds001787,8
ds002338,12
ds002718,12
ds002720,2
ds002721,12
ds002722,3
ds002723,2
ds002724,2
ds002725,3
ds002778,48
ds003004,8
ds003029,21
ds003420,2
ds003478,28
ds003498,4
ds003509,6
ds003568,5
ds003574,2
ds003655,5
ds003670,7
ds003688,10
ds003702,4
ds003775,12
ds003816,2
ds004000,8
ds004040,2
ds004080,3
ds004148,14
ds004152,2
ds004256,1
ds004279,2
ds004284,2
ds004295,2
ds004348,2
ds004350,2
ds004388,4
ds004389,3
ds004395,8
ds004408,2
ds004504,65
ds004511,3
ds004514,2
ds004517,2
ds004563,2
ds004577,4
ds004584,3
ds004587,1
ds004588,2
ds004602,6
ds004625,1
ds004635,3
ds004660,2
ds004771,4
ds004796,2
ds004802,2
ds004840,2
ds004902,5
ds005028,1
ds005048,2
ds005065,2
ds005178,2
ds005185,2
ds005305,1
ds005307,2
ds005343,1
ds005345,1
ds005356,1
ds005385,2
ds005397,1
ds005398,2
ds005486,1
ds005574,1
ds005586,2
ds005624,1
ds005672,3
ds005688,1
ds005691,2
ds005692,3
ds005873,1
