dataset_id,retrieved_citations_count
ds004447,1
ds001785,2
ds004551,3
ds002893,1
ds004295,2
ds004022,2
ds004369,1
ds005398,2
ds004520,3
ds005048,3
ds005868,1
ds005385,2
ds004802,2
ds005692,3
ds001810,6
ds004262,1
ds003708,1
ds003555,10
ds003969,3
ds003690,6
ds002778,48
ds004785,1
ds003029,23
ds002691,2
ds003801,2
ds004883,4
ds005688,1
ds004980,1
ds004995,1
ds003523,3
ds005545,1
ds003887,3
ds005397,1
ds003420,3
ds003682,2
ds004448,1
ds004317,1
ds003380,2
ds004703,2
ds004977,2
ds003421,3
ds004367,1
ds005383,1
ds003522,5
ds001971,2
ds004398,1
ds004860,1
ds005121,1
ds004200,1
ds004215,11
ds004040,2
ds004784,1
ds004279,2
ds004024,1
ds004819,1
ds005305,1
ds005873,2
ds005866,1
ds004127,1
ds003800,4
ds004276,2
ds002712,1
ds004212,4
ds002814,4
ds004718,1
ds003876,3
ds004151,2
ds004796,4
ds002034,7
ds001784,1
ds004446,1
ds004521,3
ds006260,1
ds002218,1
ds002761,1
ds004306,2
ds004388,4
ds004789,5
ds004902,9
ds004362,3
ds004660,2
ds005691,2
ds005960,1
ds004809,3
ds003805,3
ds003810,2
ds002550,1
ds002718,13
ds002680,6
ds004444,1
ds004395,8
ds003703,1
ds002885,1
ds002908,1
ds004603,1
ds003694,1
ds002799,11
ds003768,21
ds004771,4
ds004370,1
ds003987,1
ds005307,2
ds003775,12
ds003374,4
ds004033,2
ds005028,1
ds004284,2
ds005815,1
ds005363,1
ds003774,8
ds003816,2
ds004457,3
ds003688,11
ds004043,1
ds003710,1
ds005261,1
ds005034,1
ds004315,1
ds004148,14
ds004602,6
ds004770,2
ds003885,2
ds005296,1
ds005697,3
ds003670,7
ds003039,2
ds003766,1
ds005273,1
ds005672,3
ds004696,1
ds004147,2
ds004152,2
ds004381,2
ds003702,4
ds001787,9
ds004389,3
ds004706,3
ds004998,1
ds002158,1
ds006036,1
ds004598,1
ds003195,3
ds003825,3
ds004117,2
ds005931,1
ds003620,4
ds004572,2
ds004166,1
ds000248,4
ds003061,5
ds005089,1
ds004078,6
ds005505,1
ds005510,1
ds002578,1
ds004357,3
ds002725,3
ds003838,7
ds004408,2
ds005574,1
ds004511,3
ds004504,78
ds006018,1
ds005079,1
ds003490,4
ds000247,3
ds005185,2
ds003846,5
ds005356,1
ds005343,1
ds002181,1
ds003739,5
ds004196,1
ds003498,5
ds004080,3
ds004519,3
ds002336,5
ds002722,3
ds004350,2
ds005415,1
ds003565,3
ds003570,1
ds005516,70
ds002723,2
ds005065,2
ds004252,1
ds003509,7
ds004012,1
ds005624,1
ds004505,5
ds005342,1
ds005486,1
ds003944,7
ds005087,1
ds003626,7
ds003633,1
ds004561,3
ds004574,1
ds000246,1
ds005511,2
ds004625,2
ds000117,78
ds003474,9
ds004952,2
ds003848,1
ds004584,5
ds003506,4
ds003004,8
ds004356,2
ds002724,2
ds003194,3
ds004517,3
ds004502,3
ds002338,12
ds003645,3
ds003483,3
ds004015,3
ds004000,9
ds003082,5
ds005169,1
ds003352,4
ds005095,7
ds004859,1
ds005345,1
ds006065,1
ds004579,1
ds004330,2
ds005410,1
ds005506,2
ds005107,1
ds003568,4
ds001849,1
ds003519,3
ds003751,7
ds004017,1
ds004515,4
ds003516,3
ds005565,1
ds002721,5
ds004752,4
ds005514,1
ds004635,3
ds004942,1
ds002094,30
ds004563,2
ds003078,1
ds004475,2
ds004460,1
ds005509,2
ds005340,1
ds003655,5
ds003922,1
ds005508,1
ds004075,1
ds003947,8
ds003478,33
ds005586,2
ds004577,4
ds005178,2
ds004588,2
ds003343,1
ds004011,1
ds004107,2
ds003190,4
ds002720,2
ds004483,2
ds004019,1
ds005571,1
ds004580,1
ds004595,2
ds005170,1
ds004194,4
ds003517,5
ds005403,2
ds003638,1
ds004621,2
ds004840,2
ds004738,1
ds005594,1
ds002001,4
ds004473,1
ds004067,1
ds005083,1
ds004514,3
ds004100,24
ds005841,1
ds004348,2
ds005234,4
ds003505,6
ds004186,9
ds004587,1
ds004256,1
ds004642,2
ds004657,1
ds005106,1
ds003574,2
ds005507,1
ds005512,2
ds004626,1
ds004951,1
ds004944,1
ds005411,1
