author,datasets_cited,num_datasets
"Cristina Gil Ávila, Felix S. Bott, Laura Tiemann, Vanessa D. Hohn, Elisabeth S. May, Moritz M. Nickel, Paul Theo Zebhauser, Joachim Groß, Markus Ploner","ds003352,on006126",2
"Marcel P. Zwiers, Stefano Moia, Robert Oostenveld","ds003352,on006126",2
"Russell A. Poldrack, Christopher J. Markiewicz, Stefan Appelhoff, Yoni K. Ashar, Tibor Auer, Sylvain Baillet, Shashank Bansal, Leandro Beltrachini, Christian Bénar, Giacomo Bertazzoli, Suyash Bhogawar, Ross Blair, Marta Bortoletto, Mathieu Boudreau, Teon L Brooks, Vince D. Calhoun, Filippo Maria Castelli, Patricia Clement, Alexander L. Cohen, Julien Cohen‐Adad, Sasha D’Ambrosio, Gilles de Hollander, María de la Iglesia-Vayá, Alejandro de la Vega, Arnaud Delorme, Orrin Devinsky, Dejan Draschkow, Eugene Duff, Elizabeth DuPré, Eric Earl, Oscar Estéban, Franklin Feingold, Guillaume Flandin, Anthony Galassi, Giuseppe Gallitto, Melanie Ganz, Rémi Gau, James Gholam, Satrajit Ghosh, Alessio Giacomel, Ashley Gillman, Padraig Gleeson, Alexandre Gramfort, Samuel Guay, Giacomo Guidali, Yaroslav O. Halchenko, Daniel A. Handwerker, Nell Hardcastle, Peer Herholz, Dora Hermes","ds000247,ds003352,ds005752,on006126",4
"Sara Parmigiani, Ezequiel Mikulan, Simone Russo, Simone Sarasso, Flavia Maria Zauli, A Rubino, Anna Cattani, Matteo Fecchio, Davide Giampiccolo, Jacopo Lanzone, Piergiorgio d’Orio, Maria Del Vecchio, Pietro Avanzini, Lino Nobili, Ivana Sartori, Marcello Massimini, Andrea Pigorini",ds003352,1
"Laura Gwilliams, Graham Flick, Alec Marantz, Liina Pylkkänen, David Poeppel, Jean-Rémi King",ds003352,1
"Jacques Pesnot Lerousseau, Cesare Parise, Marc O. Ernst, Virginie van Wassenhove","ds000248,ds003352,ds003392",3
"Weiyong Xu, Orsolya Kolozsvári, Robert Oostenveld, Jarmo A. Hämäläinen",ds003352,1
"Dominik Welke, Edward A. Vessel","ds003352,ds004460,on006126",3
"Xinyu Mou, Cuilin He, Liwei Tan, Junjie Yu, Huadong Liang, Jianyu Zhang, Yan Tian, Yufang Yang, Ting Xu, Qing Wang, Miao Cao, Zijiao Chen, Hu Chuan-Peng, Xindi Wang, Quanying Liu, Haiyan Wu","ds003352,ds003766,ds004952",3
"Robert Luke, Robert Oostenveld, Helena Cockx, Guiomar Niso, Maureen J. Shader, Felipe Orihuela‐Espina, Hamish Innes-Brown, Stephen Tucker, David A. Boas, Meryem A. Yücel, Rémi Gau, Taylor Salo, Stefan Appelhoff, Christopher J. Markiewicz, David McAlpine, The BIDS Maintainers, Luca Pollonini",ds003352,1
"Milan Rybář, Riccardo Poli, Ian Daly",ds003352,1
"Kun Chen, Ruien Wang, Jiamin Huang, Fei Gao, Zhen Yuan, Yanyan Qi, Haiyan Wu","ds003352,ds003766",2
"Arne Van Den Kerchove, Arno Libert, Benjamin Wittevrongel, Marc M. Van Hulle",ds003352,1
"Robert Luke, Robert Oostenveld, Helena Cockx, Guiomar Niso, Maureen J. Shader, Felipe Orihuela‐Espina, Hamish Innes-Brown, Stephen J. Tucker, David A. Boas, Rémi Gau, Taylor Salo, Stefan Appelhoff, Christopher J. Markiewicz, David McAlpine, bids maintainers, Luca Pollonini",ds003352,1
"Anna Corriveau, Alexis Kidder, Lina Teichmann, Susan G. Wardle, Chris I. Baker",ds003352,1
"Ezequiel Mikulan, S. Russo, Sara Parmigiani, Simone Sarasso, Flavia Maria Zauli, Annalisa Rubino, Pietro Avanzini, Anna Cattani, Alberto Sorrentino, Steve A. Gibbs, Francesco Cardinale, Ivana Sartori, Lino Nobili, Marcello Massimini, Andrea Pigorini","ds003352,on006126",2
"Alia Seedat, Alex Lepauvre, Jay Jeschke, Urszula Górska, Marcelo Armendáriz, Katarina Bendtz, Simon Henin, Rony Hirschhorn, Tanya Brown, Erika Jensen, Csaba Kozma, David Mazumder, Stephanie Montenegro, Leyao Yu, Niccolò Bonacchi, Diptyajit Das, Kyle Kahraman, Praveen Sripad, Fatemeh Taheriyan, Orrin Devinsky, Patricia Dugan, Werner Doyle, Adeen Flinker, Daniel Friedman, Wendell Lake, Michael Pitts, Liad Mudrik, Mélanie Boly, Sasha Devore, Gabriel Kreiman, Lucía Melloni",ds003352,1
"Guohao Zhang, Ming Zhou, Shuyi Zhen, Shaohua Tang, Zheng Li, Zonglei Zhen",ds003352,1
"Jens Madsen, Nikhil Kuppa, Lucas C. Parra","ds003352,ds004194",2
Jordy Thielen,"ds003352,nm000163",2
"Billy Gerdfeldter, Annika Andersson, Stefan Wiens",ds003352,1
"Benedikt V. Ehinger, Hannes Bonasch",ds003352,1
"Sitong Chen, Beiqianyi Li, Cuilin He, Dongyang Li, Mingyang Wu, Xinke Shen, Song Wang, Xuetao Wei, Xindi Wang, Haiyan Wu, Quanying Liu","ds003352,ds004952",2
"G. Rabuffo, Marianna Angiolelli, T. Fukai, G. Deco, P. Sorrentino, D. Momi",ds003352,1
"Cyril Pernet, Stefan Appelhoff, Krzysztof J. Gorgolewski, Guillaume Flandin, Christophe Phillips, Arnaud Delorme, Robert Oostenveld","ds000248,ds003352",2
"Stefan Appelhoff, Matthew Sanderson, Teon L Brooks, Marijn van Vliet, Romain Quentin, Chris Holdgraf, Maximilien Chaumon, Ezequiel Mikulan, Kambiz Tavabi, Richard Höchenberger, Dominik Welke, Clemens Brunner, Alexander P. Rockhill, Eric B. Larson, Alexandre Gramfort, Mainak Jas","ds000248,ds003352,on006126",3
"Iris I. A. Groen, Giovanni Piantoni, Stephanie Montenegro, Adeen Flinker, Sasha Devore, Orrin Devinsky, Werner Doyle, Patricia Dugan, Daniel Friedman, Nick F. Ramsey, Natalia Petridou, Jonathan Winawer","ds003352,ds005953",2
"Dora Hermes, Natalia Petridou, Kendrick Kay, Jonathan Winawer","ds003352,ds005953",2
"Maxime Verwoert, Maarten C. Ottenhoff, Sophocles Goulis, Albert Colon, Louis Wagner, Simon Tousseyn, Johannes van Dijk, Pieter Kubben, Christian Herff",ds003352,1
"Martin Nørgaard, Granville J. Matheson, Hanne D. Hansen, Adam G. Thomas, Graham E. Searle, Gaia Rizzo, Mattia Veronese, Alessio Giacomel, Maqsood Yaqub, Mattéo Tonietto, Thomas Funck, Ashley Gillman, Hugo Boniface, Alexandre Routier, Jelle R. Dalenberg, Tobey J. Betthauser, Franklin Feingold, Christopher J. Markiewicz, Krzysztof J. Gorgolewski, Ross Blair, Stefan Appelhoff, Rémi Gau, Taylor Salo, Guiomar Niso, Cyril Pernet, Christophe Phillips, Robert Oostenveld, Jean‐Dominique Gallezot, Richard E. Carson, Gitte M. Knudsen, Robert B. Innis, Melanie Ganz","ds003352,on006126",2
"John F. Magnotti, Zhengjia Wang, Michael S. Beauchamp",ds003352,1
"Julia Berezutskaya, Mariska J. Vansteensel, Erik J. Aarnoutse, Zachary V. Freudenburg, Giovanni Piantoni, Mariana P. Branco, Nick F. Ramsey","ds003352,ds006502,on002718,on003645",4
"Petr Nejedlý, Václav Křemen, Vladimir Sladky, Jan Cimbálník, Petr Klimeš, Filip Plešinger, Filip Mívalt, Vojtěch Trávníček, Ivo Viščor, Martin Pail, Josef Halámek, Benjamin H. Brinkmann, Milan Brázdil, Pavel Jurák, Gregory A. Worrell","ds003352,on006126",2
