dataset1,dataset2,co_citation_count
nm000125,nm000201,171
nm000247,nm000336,161
nm000336,on006126,159
nm000212,nm000336,158
nm000212,nm000247,156
nm000336,on007895,156
nm000216,nm000244,152
nm000247,on006126,152
nm000212,on007895,151
nm000247,on007895,151
nm000212,on006126,150
nm000188,nm000216,148
nm000216,nm000336,148
nm000188,nm000212,147
nm000125,nm000336,147
nm000201,nm000336,147
nm000336,on007262,147
on006126,on007895,147
nm000188,nm000336,146
nm000201,nm000247,146
nm000216,nm000247,146
nm000125,nm000212,145
nm000125,nm000247,145
nm000125,on006126,145
nm000201,nm000212,145
on006126,on007262,145
nm000212,nm000216,144
nm000188,nm000247,144
nm000125,on007895,143
nm000221,nm000336,143
nm000216,on006126,142
nm000244,nm000336,142
nm000247,on007262,142
nm000188,nm000244,141
nm000201,on006126,141
nm000212,on007262,141
nm000221,nm000247,141
nm000244,nm000247,141
on007262,on007895,141
nm000201,on007895,140
nm000212,nm000221,140
nm000221,on006126,140
nm000188,on006126,139
nm000188,on007895,139
nm000216,on007895,139
nm000221,on007895,139
nm000212,nm000244,138
nm000201,nm000216,137
nm000125,nm000221,136
nm000125,on007262,136
