dataset_id,high_conf_citations,low_conf_citations,total_citations
ds005752,169,94,263
ds003739,161,8,169
ds005953,153,24,177
ds004504,151,13,164
ds003004,150,28,178
ds002680,108,80,188
nm000323,100,2,102
ds002893,99,1,100
nm000126,99,1,100
nm000112,98,2,100
nm000338,98,4,102
nm000129,97,3,100
nm000228,97,3,100
on004018,97,3,100
nm000194,95,5,100
ds004348,95,5,100
nm000140,95,5,100
nm000173,95,5,100
nm000267,94,6,100
nm000268,94,6,100
ds003490,93,7,100
ds005207,92,2,94
nm000118,92,8,100
nm000225,92,10,102
ds004347,91,9,100
nm000234,91,9,100
nm000180,90,10,100
nm000185,90,16,106
nm000245,90,13,103
nm000139,89,11,100
nm000171,89,20,109
ds003969,88,12,100
nm000169,88,12,100
on006126,88,12,100
nm000111,87,13,100
ds007069,87,5,92
nm000109,86,14,100
nm000143,86,14,100
ds004117,85,15,100
nm000168,84,16,100
nm000190,84,16,100
nm000135,82,18,100
nm000137,82,18,100
nm000231,82,18,100
nm000243,82,18,100
nm000192,81,3,84
ds003474,81,19,100
ds004010,81,11,92
nm000189,81,19,100
on002718,81,19,100
nm000198,80,20,100
ds007056,80,12,92
ds007139,80,12,92
on007069,80,12,92
on003645,80,20,100
ds007052,79,13,92
ds007096,79,13,92
on007052,79,13,92
on007056,79,13,92
ds003478,78,22,100
nm000115,78,3,81
nm000188,78,14,92
nm000311,78,7,85
nm000172,77,23,100
on007139,76,16,92
ds007137,74,18,92
nm000123,74,26,100
nm000144,74,11,85
on007096,74,18,92
ds002336,74,1,75
nm000179,73,27,100
nm000114,72,2,74
ds003518,68,18,86
nm000158,68,4,72
nm000210,66,8,74
on007137,64,28,92
ds002158,61,5,66
nm000343,60,5,65
ds004532,59,41,100
nm000206,57,8,65
nm000339,56,2,58
nm000122,51,5,56
ds004194,50,4,54
nm000167,49,7,56
ds003838,48,5,53
nm000199,47,11,58
ds004080,46,23,69
nm000212,45,2,47
nm000151,44,0,44
ds004752,43,2,45
nm000110,41,4,45
ds001849,41,2,43
nm000229,41,1,42
nm000119,40,5,45
nm000121,39,6,45
ds004460,38,10,48
nm000120,38,4,42
nm000254,38,3,41
ds002885,36,1,37
ds003570,36,11,47
ds004944,36,3,39
nm000250,36,1,37
ds003516,35,14,49
ds004015,33,0,33
ds006563,33,3,36
ds003392,32,4,36
ds004121,32,13,45
ds004123,32,13,45
nm000125,32,0,32
nm000201,32,0,32
ds003039,31,28,59
ds004120,31,14,45
ds004122,31,14,45
ds004118,30,15,45
ds004106,28,3,31
nm000259,28,2,30
nm000348,28,3,31
ds003620,27,7,34
ds003690,27,9,36
ds005342,27,2,29
nm000195,26,10,36
ds003944,26,4,30
ds003947,26,4,30
ds004119,26,5,31
ds005385,26,6,32
on004745,26,1,27
nm000219,26,3,29
nm000239,26,4,30
ds003775,25,2,27
ds005114,25,0,25
nm000166,25,7,32
nm000205,25,0,25
ds003519,24,3,27
ds003374,24,2,26
ds004357,24,2,26
ds004505,24,2,26
ds004796,24,0,24
ds004816,24,2,26
ds004817,24,2,26
ds005048,24,1,25
ds003522,23,1,24
ds003922,23,2,25
nm000130,23,2,25
ds003655,22,1,23
ds004952,22,1,23
nm000249,22,2,24
ds003517,21,3,24
ds004229,21,1,22
ds004784,21,0,21
nm000209,21,1,22
nm000342,21,2,23
nm000163,20,3,23
nm000344,20,3,23
nm000345,20,3,23
nm000346,20,3,23
ds004356,19,1,20
ds002338,19,0,19
ds004635,18,0,18
ds006269,18,2,20
nm000170,18,1,19
ds003505,17,3,20
ds004151,17,0,17
nm000216,17,1,18
ds004107,16,1,17
ds004917,16,6,22
nm000246,16,1,17
ds004883,15,3,18
ds002034,15,0,15
ds004457,14,0,14
ds004577,14,0,14
ds002761,13,1,14
on005509,12,0,12
on005515,12,0,12
on005516,12,0,12
nm000329,12,0,12
ds004563,11,1,12
ds004621,11,1,12
ds004995,11,2,13
on005505,11,1,12
on005506,11,1,12
on005507,11,1,12
on005508,11,1,12
on005510,11,1,12
on005511,11,1,12
on005512,11,1,12
on005514,11,1,12
ds005509,10,0,10
ds005511,10,0,10
ds005512,10,0,10
ds005516,10,0,10
ds005505,10,0,10
ds004998,10,3,13
ds005121,10,0,10
ds005571,10,8,18
ds006012,10,1,11
nm000142,10,0,10
nm000161,10,1,11
ds005510,9,1,10
ds004642,9,0,9
ds006036,9,0,9
nm000141,9,8,17
nm000204,9,0,9
nm000222,9,0,9
nm000310,9,1,10
nm000193,8,0,8
ds004837,8,0,8
ds006171,8,0,8
nm000136,8,2,10
nm000208,8,1,9
nm000213,8,1,9
nm000223,8,1,9
nm000227,8,2,10
nm000235,8,2,10
nm000265,8,2,10
nm000215,7,1,8
nm000244,7,1,8
ds005340,6,0,6
nm000133,6,0,6
nm000202,6,0,6
nm000240,6,2,8
nm000260,6,0,6
nm000264,6,0,6
ds003766,5,3,8
ds004381,5,0,5
ds004574,5,0,5
ds004579,5,0,5
ds004580,5,0,5
ds005106,5,0,5
ds005234,5,0,5
ds005408,5,1,6
ds006334,5,0,5
ds006761,5,1,6
nm000214,5,0,5
ds006695,4,1,5
nm000124,4,2,6
nm000127,4,0,4
nm000207,4,0,4
nm000217,4,1,5
nm000347,4,0,4
ds004147,3,1,4
ds004819,3,0,3
ds005811,3,1,4
ds006253,3,0,3
ds006802,3,0,3
ds007358,3,0,3
nm000128,3,1,4
nm000131,3,0,3
nm000162,3,0,3
on007176,3,0,3
ds003702,2,1,3
ds003708,2,0,2
ds004012,2,1,3
ds004554,2,2,4
ds005034,2,0,2
ds005960,2,2,4
ds006576,2,0,2
ds007609,2,1,3
ds007648,2,0,2
nm000203,2,0,2
nm000211,2,0,2
nm000230,2,0,2
nm000266,2,0,2
ds003670,1,0,1
ds003688,1,0,1
ds003710,1,0,1
nm000196,1,0,1
ds003029,1,1,2
ds004043,1,0,1
ds004398,1,2,3
ds005087,1,0,1
ds005095,1,3,4
ds005296,1,1,2
ds005397,1,0,1
ds005594,1,0,1
ds006848,1,0,1
ds007615,1,0,1
ds007663,1,1,2
nm000134,1,0,1
on007823,1,0,1
nm000242,1,0,1
nm000272,1,0,1
ds003602,0,0,0
ds003626,0,0,0
ds003848,0,0,0
nm000181,0,0,0
ds003574,0,0,0
ds003509,0,0,0
ds003523,0,0,0
ds003555,0,0,0
ds003568,0,0,0
ds003638,0,0,0
ds003887,0,0,0
ds003774,0,0,0
ds003885,0,0,0
ds007012,0,0,0
ds003682,0,0,0
ds003694,0,0,0
ds003703,0,0,0
ds003987,0,0,0
ds004000,0,0,0
ds007808,0,0,0
ds002001,0,0,0
ds002799,0,0,0
ds002814,0,0,0
ds003876,0,0,0
ds007813,0,0,0
ds002833,0,0,0
ds003061,0,0,0
ds007955,0,0,0
nm000197,0,0,0
ds002908,0,0,0
ds003352,0,0,0
ds003420,0,0,0
ds003458,0,0,0
ds003483,0,0,0
nm000104,0,0,0
ds003421,0,0,0
ds003753,0,0,0
ds003805,0,0,0
ds003078,0,0,0
ds003082,0,0,0
ds003104,0,0,0
ds003498,0,0,0
ds003506,0,0,0
nm000157,0,0,0
nm000200,0,0,0
ds003633,0,0,0
ds003751,0,0,0
ds003768,0,0,0
ds003822,0,0,0
ds003844,0,0,0
ds003846,0,0,0
ds004017,0,0,0
ds004019,0,0,0
ds004024,0,0,0
ds004033,0,0,0
ds004040,0,0,0
ds004067,0,0,0
ds004075,0,0,0
ds004078,0,0,0
ds004105,0,0,0
ds004127,0,0,0
ds004148,0,0,0
ds004152,0,0,0
ds004166,0,0,0
ds004186,0,0,0
ds004196,0,0,0
ds004200,0,0,0
ds004212,0,0,0
ds004252,0,0,0
ds004256,0,0,0
ds004262,0,0,0
ds004264,0,0,0
ds004276,0,0,0
ds004278,0,0,0
ds004279,0,0,0
ds004284,0,0,0
ds004295,0,0,0
ds004306,0,0,0
ds004315,0,0,0
ds004317,0,0,0
ds004324,0,0,0
ds004330,0,0,0
ds004346,0,0,0
ds004350,0,0,0
ds004369,0,0,0
ds004370,0,0,0
ds004388,0,0,0
ds004389,0,0,0
ds004395,0,0,0
ds004408,0,0,0
ds004444,0,0,0
ds004446,0,0,0
ds004447,0,0,0
ds004448,0,0,0
ds004473,0,0,0
ds004477,0,0,0
ds004483,0,0,0
ds004502,0,0,0
ds004511,0,0,0
ds004514,0,0,0
ds004515,0,0,0
ds004517,0,0,0
ds004519,0,0,0
ds004520,0,0,0
ds004521,0,0,0
ds004541,0,0,0
ds004551,0,0,0
ds004561,0,0,0
ds004572,0,0,0
ds004582,0,0,0
ds004584,0,0,0
ds004587,0,0,0
ds004595,0,0,0
ds004598,0,0,0
ds004602,0,0,0
ds004603,0,0,0
ds004624,0,0,0
ds004625,0,0,0
ds004626,0,0,0
ds004657,0,0,0
ds004660,0,0,0
ds004696,0,0,0
ds004703,0,0,0
ds004706,0,0,0
ds004718,0,0,0
ds004738,0,0,0
ds004770,0,0,0
ds004771,0,0,0
ds004774,0,0,0
ds004785,0,0,0
ds004789,0,0,0
ds004802,0,0,0
ds004809,0,0,0
ds004840,0,0,0
ds004841,0,0,0
ds004842,0,0,0
ds004843,0,0,0
ds004844,0,0,0
ds004851,0,0,0
ds004859,0,0,0
ds004860,0,0,0
ds004865,0,0,0
ds004902,0,0,0
ds004942,0,0,0
ds004951,0,0,0
ds004977,0,0,0
ds004980,0,0,0
ds004993,0,0,0
ds005007,0,0,0
ds005021,0,0,0
ds005059,0,0,0
ds005065,0,0,0
ds005079,0,0,0
ds005083,0,0,0
ds005089,0,0,0
ds005107,0,0,0
ds005131,0,0,0
ds005169,0,0,0
ds005170,0,0,0
ds005178,0,0,0
ds005185,0,0,0
ds005189,0,0,0
ds005241,0,0,0
ds005273,0,0,0
ds005274,0,0,0
ds005279,0,0,0
ds005293,0,0,0
ds005305,0,0,0
ds005307,0,0,0
ds005343,0,0,0
ds005346,0,0,0
ds005356,0,0,0
ds005363,0,0,0
ds005383,0,0,0
ds005398,0,0,0
ds005403,0,0,0
ds005406,0,0,0
ds005407,0,0,0
ds005410,0,0,0
ds005411,0,0,0
ds005415,0,0,0
ds005416,0,0,0
ds005429,0,0,0
ds005448,0,0,0
ds005486,0,0,0
ds005489,0,0,0
ds005491,0,0,0
ds005494,0,0,0
ds005520,0,0,0
ds005522,0,0,0
ds005523,0,0,0
ds005530,0,0,0
ds005545,0,0,0
ds005555,0,0,0
ds005557,0,0,0
ds005558,0,0,0
ds005565,0,0,0
ds005574,0,0,0
ds005586,0,0,0
ds005620,0,0,0
ds005624,0,0,0
ds005648,0,0,0
ds005662,0,0,0
ds005670,0,0,0
ds005672,0,0,0
ds005688,0,0,0
ds005691,0,0,0
ds005692,0,0,0
ds005697,0,0,0
ds005795,0,0,0
ds005810,0,0,0
ds005841,0,0,0
ds005857,0,0,0
ds005863,0,0,0
ds005866,0,0,0
ds005868,0,0,0
ds005872,0,0,0
ds005873,0,0,0
ds005876,0,0,0
ds005907,0,0,0
ds005931,0,0,0
ds005932,0,0,0
ds005946,0,0,0
ds006018,0,0,0
ds006033,0,0,0
ds006035,0,0,0
ds006040,0,0,0
ds006065,0,0,0
ds006095,0,0,0
ds006104,0,0,0
ds006107,0,0,0
ds006136,0,0,0
ds006142,0,0,0
ds006222,0,0,0
ds006233,0,0,0
ds006234,0,0,0
ds006260,0,0,0
ds006317,0,0,0
ds006366,0,0,0
ds006370,0,0,0
ds006374,0,0,0
ds006386,0,0,0
ds006392,0,0,0
ds006394,0,0,0
ds006434,0,0,0
ds006437,0,0,0
ds006465,0,0,0
ds006468,0,0,0
ds006480,0,0,0
ds006502,0,0,0
ds006519,0,0,0
ds006525,0,0,0
ds006547,0,0,0
ds006554,0,0,0
ds006593,0,0,0
ds006629,0,0,0
ds006647,0,0,0
ds006648,0,0,0
ds006720,0,0,0
ds006735,0,0,0
ds006768,0,0,0
ds006801,0,0,0
ds006803,0,0,0
ds006817,0,0,0
ds006839,0,0,0
ds006840,0,0,0
ds006850,0,0,0
ds006861,0,0,0
ds006866,0,0,0
ds006890,0,0,0
ds006897,0,0,0
ds006910,0,0,0
ds006914,0,0,0
ds006921,0,0,0
ds006923,0,0,0
ds006940,0,0,0
ds006945,0,0,0
ds006963,0,0,0
ds006979,0,0,0
ds007006,0,0,0
ds007020,0,0,0
ds007028,0,0,0
ds007081,0,0,0
ds007095,0,0,0
ds007118,0,0,0
ds007119,0,0,0
ds007120,0,0,0
ds007162,0,0,0
ds007169,0,0,0
ds007172,0,0,0
ds007216,0,0,0
ds007221,0,0,0
ds007222,0,0,0
ds007314,0,0,0
ds007322,0,0,0
ds007338,0,0,0
ds007347,0,0,0
ds007353,0,0,0
ds007406,0,0,0
ds007427,0,0,0
ds007431,0,0,0
ds007454,0,0,0
ds007471,0,0,0
ds007509,0,0,0
ds007521,0,0,0
ds007523,0,0,0
ds007524,0,0,0
ds007526,0,0,0
ds007537,0,0,0
ds007554,0,0,0
ds007558,0,0,0
ds007591,0,0,0
ds007602,0,0,0
ds007605,0,0,0
ds007629,0,0,0
ds007630,0,0,0
ds007640,0,0,0
ds007647,0,0,0
ds007655,0,0,0
ds007666,0,0,0
ds007667,0,0,0
ds007788,0,0,0
nm000103,0,0,0
nm000113,0,0,0
