dataset_id,dataset_name,total_citations,cumulative_citations,high_confidence_citations,avg_confidence,total_citation_impact,max_single_citation_impact,citation_years_list
ds000117,"Multisubject, multimodal face processing",78,2305,72,0.5598948418328331,2242,522.0,"[2022, 2018, 2018, 2017, 2019, 2023, 2019, 2018, 2022, 2023, 2021, 2017, 2023, 2018, 2021, 2021, 2021, 2019, 2018, 2024, 0, 2020, 2023, 2018, 2025, 2018, 2023, 2021, 2023, 2025, 2024, 2019, 2022, 2023, 2017, 2021, 2022, 2021, 2020, 2018, 2021, 2022, 2023, 2025, 2019, 2018, 2022, 2024, 2020, 2019, 2019, 2025, 2022, 0, 2025, 2022, 2021, 2024, 2022, 2025, 2022, 2019, 2018, 2020, 2024, 2015, 2018, 2020, 2021, 2020, 0, 2018]"
ds005342,EEG data offline and online during motor imagery for standing and sitting,1,1364,0,,0,,[]
ds002778,UC San Diego Resting State EEG Data from Patients with Parkinson's Disease,48,568,47,0.6520781181657568,559,98.0,"[2024, 2021, 2025, 2024, 2023, 2024, 2023, 2022, 2024, 2024, 2022, 0, 2022, 2023, 2021, 2023, 2022, 2024, 2025, 2021, 2025, 2021, 2024, 2021, 2024, 2025, 2023, 2024, 2024, 2024, 2024, 2022, 2022, 2023, 2021, 2024, 2024, 2024, 2024, 2025, 2022, 2023, 2025, 2023, 2023, 2024, 2024]"
ds004504,"A dataset of EEG recordings from: Alzheimer's disease, Frontotemporal dementia and Healthy subjects",78,481,72,0.6982039680062896,478,103.0,"[2023, 2025, 2023, 2024, 2024, 2025, 2023, 2025, 2024, 2024, 2024, 0, 2024, 2024, 2025, 2024, 2024, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2025, 2025, 2024, 2024, 2024, 2023, 2023, 2024, 2025, 2024, 2023, 2024, 2023, 2025, 2024, 2023, 2025, 2025, 2024, 2024, 2024, 0, 2024, 2024, 2024, 2024, 2023, 2024, 2024, 2023, 2024, 2025, 2025, 0, 2024, 2024, 0, 2024, 2025, 2025, 2025, 2025, 2023, 2024, 2024]"
ds005516,Healthy Brain Network (HBN) EEG - Release 11,70,410,0,,0,,[]
ds002094,Single-pulse open-loop TMS-EEG dataset,30,353,7,0.6391532163534847,52,24.0,"[2024, 2022, 2023, 2019, 2021, 0, 2007]"
ds003029,Epilepsy-iEEG-Multicenter-Dataset,23,308,20,0.6501608037650586,299,139.0,"[2024, 0, 2025, 2023, 2023, 2025, 2023, 2022, 2021, 2019, 2024, 0, 2024, 2024, 2022, 2021, 2022, 2025, 2023, 2024]"
ds002680,Go-nogo categorization and detection task,6,305,1,0.6766300392150879,2,2.0,[2023]
ds002718,Face processing EEG dataset for EEGLAB,13,279,12,0.6283401366695762,279,189.0,"[2021, 2022, 2023, 2023, 2023, 2025, 2021, 2024, 2022, 2023, 0, 2023]"
ds000247,MEG-BIDS OMEGA RestingState_sample,3,186,3,0.6484360713263353,186,123.0,"[2019, 2018, 2023]"
