citation_title,citation_author,citation_year,venue,citation_impact,confidence_score,dataset_id,dataset_name,dataset_total_citations
Autoreject: Automated artifact rejection for MEG and EEG data,"M Jas, DA Engemann, Y Bekhti, F Raimondo",2017,NeuroImage,522,0.5669291079044343,ds000117,ds000117,2305
MEG/EEG group analysis with brainstorm,"F Tadel, E Bock, G Niso, JC Mosher",2019,Frontiers in neuroscience,208,0.572721391916275,ds000117,ds000117,2305
MVPA-light: a classification and regression toolbox for multi-dimensional data,MS Treder,2020,Frontiers in Neuroscience,200,0.46908774107694634,ds000117,ds000117,2305
EEG is better left alone,A Delorme,2023,Scientific reports,189,0.7115515244007111,ds002718,ds002718,279
"A multi-subject, multi-modal human neuroimaging dataset","DG Wakeman, RN Henson",2015,Scientific data,187,0.737298846244812,ds000117,ds000117,2305
Task-evoked dynamic network analysis through hidden Markov modeling,"AJ Quinn, D Vidaurre, R Abeysuriya, R Becker",2018,Frontiers in neuroscience,187,0.5070708513259888,ds000117,ds000117,2305
EEG is better left alone,A Delorme,2023,Scientific reports,173,0.5763974735140801,ds003061,ds003061,180
From ERPs to MVPA using the Amsterdam decoding and modeling toolbox (ADAM),"JJ Fahrenfort, J Van Driel, S Van Gaal",2018,Frontiers in neuroscience,161,0.5007366389036179,ds000117,ds000117,2305
"MEG-BIDS, the brain imaging data structure extended to magnetoencephalography","G Niso, KJ Gorgolewski, E Bock, TL Brooks, G Flandin",2018,Scientific data,160,0.6187979280948639,ds000117,ds000117,2305
Neural fragility as an EEG marker of the seizure onset zone,"A Li, C Huynh, Z Fitzgerald, I Cajigas, D Brusko",2021,Nature neuroscience,139,0.6523701882362367,ds003029,ds003029,308
"THINGS-data, a multimodal collection of large-scale datasets for investigating object representations in human brain and behavior","MN Hebart, O Contier, L Teichmann, AH Rockter",2023,Elife,137,0.9253777760267259,ds004212,ds004212,141
An electronic neuromorphic system for real-time detection of high frequency oscillations (HFO) in intracranial EEG,"M Sharifshazileh, K Burelo, J Sarnthein",2021,Nature communications,130,0.7255492392182351,ds003498,ds003498,149
"A reproducible MEG/EEG group study with the MNE software: recommendations, quality assessments, and good practices","M Jas, E Larson, DA Engemann",2018,Frontiers in neuroscience,128,0.5694648385047913,ds000117,ds000117,2305
Deep brain stimulation of the internal capsule enhances human cognitive control and prefrontal cortex function,"AS Widge, S Zorowitz, I Basu, AC Paulk",2019,Nature communications,124,0.7711449503898621,ds001784,ds001784,124
"MEG-BIDS, the brain imaging data structure extended to magnetoencephalography","G Niso, KJ Gorgolewski, E Bock, et al.",2018,Scientific data,123,0.7605413675308228,ds000248,ds000248,133
"MEG-BIDS, the brain imaging data structure extended to magnetoencephalography","G Niso, KJ Gorgolewski, E Bock, et al.",2018,Scientific data,123,0.6995742082595826,ds000246,ds000246,123
"MEG-BIDS, the brain imaging data structure extended to magnetoencephalography","G Niso, KJ Gorgolewski, E Bock, et al.",2018,Scientific data,123,0.7032613277435303,ds000247,ds000247,186
