dataset_id,dataset_name,total_citations,cumulative_citations,high_confidence_citations,avg_confidence,total_citation_impact,max_single_citation_impact,citation_years_list
ds000117,ds000117,78,2305,72,0.5598948418328333,2242,522.0,"[2022, 2019, 2022, 2020, 2018, 2021, 2022, 2020, 2024, 2018, 2023, 2022, 2025, 2023, 2024, 2018, 2020, 0, 2022, 2019, 2018, 2019, 2021, 2017, 2018, 2023, 2023, 2023, 2019, 2021, 2020, 2018, 2019, 2025, 2021, 2019, 2024, 2022, 2018, 2020, 2022, 2021, 2018, 2025, 2024, 2022, 2021, 2021, 2023, 2021, 2020, 2018, 2023, 2019, 2018, 2025, 2025, 2022, 2023, 2025, 2024, 2015, 2018, 2022, 2017, 0, 2018, 2019, 2021, 2017, 0, 2021]"
ds005342,ds005342,1,1364,0,,0,,[]
ds002778,ds002778,48,568,47,0.6520781181657569,559,98.0,"[2023, 2025, 2022, 2025, 2025, 2024, 0, 2022, 2023, 2025, 2021, 2022, 2024, 2022, 2024, 2025, 2021, 2021, 2025, 2024, 2023, 2023, 2024, 2024, 2022, 2024, 2024, 2023, 2021, 2024, 2023, 2024, 2024, 2024, 2024, 2022, 2024, 2023, 2023, 2023, 2024, 2022, 2021, 2024, 2024, 2024, 2021]"
ds004504,ds004504,78,481,72,0.6982039680062898,478,103.0,"[0, 2024, 2025, 2024, 2024, 2023, 2024, 2024, 2024, 2024, 2025, 2025, 2024, 2023, 2024, 2025, 2023, 2024, 2023, 2024, 0, 2023, 2025, 2023, 2024, 0, 2024, 2025, 2023, 2024, 2024, 2025, 2024, 2024, 2025, 0, 2025, 2024, 2023, 2024, 2024, 2025, 2024, 2025, 2024, 2024, 2025, 2025, 2024, 2025, 2024, 2024, 2023, 2023, 2024, 2024, 2024, 2025, 2023, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2025, 2024, 2024, 2025, 2025, 2024]"
ds005516,ds005516,70,410,0,,0,,[]
ds002094,ds002094,30,353,7,0.6391532163534847,52,24.0,"[2019, 2021, 2007, 0, 2022, 2023, 2024]"
ds003029,ds003029,23,308,20,0.6501608037650587,299,139.0,"[0, 2025, 2023, 2022, 2024, 2022, 2024, 2023, 2023, 2019, 2025, 2023, 2024, 2025, 2022, 2021, 2021, 0, 2024, 2024]"
ds002680,ds002680,6,305,1,0.6766300392150879,2,2.0,[2023]
ds002718,ds002718,13,279,12,0.6283401366695762,279,189.0,"[2024, 0, 2021, 2023, 2022, 2025, 2023, 2022, 2023, 2023, 2023, 2021]"
ds000247,ds000247,3,186,3,0.6484360713263354,186,123.0,"[2023, 2018, 2019]"
ds003061,ds003061,5,180,5,0.5372589604854585,180,173.0,"[2025, 2023, 2023, 2023, 2023]"
ds003478,ds003478,33,159,32,0.6114165267907085,159,67.0,"[2025, 2024, 2025, 2025, 2024, 2025, 2025, 2023, 2023, 2024, 2025, 2024, 0, 2023, 2022, 2024, 2024, 2021, 2022, 2021, 2024, 2025, 2023, 2025, 2024, 2024, 2025, 2023, 2022, 0, 2024, 2022]"
ds003626,ds003626,7,151,7,0.7016958080870765,151,105.0,"[2022, 2023, 0, 2025, 2023, 2022, 0]"
ds003498,ds003498,5,149,4,0.6664377837628127,149,130.0,"[2022, 2021, 2021, 2024]"
ds004212,ds004212,4,141,4,0.7570952481776478,141,137.0,"[2025, 2025, 2023, 2025]"
ds000248,ds000248,4,133,4,0.6638184447586537,133,123.0,"[2021, 2018, 2018, 2018]"
ds001784,ds001784,1,124,1,0.7711449503898621,124,124.0,[2019]
