author,datasets_cited,num_datasets_cited,total_citations,total_citation_impact,avg_confidence
"R Zheng, D Zhang, Z Yuan, J Chen, Y Yang","['ds004350', 'ds004602', 'ds004295', 'ds004588', 'ds004256', 'ds004840', 'ds003420', 'ds003655', 'ds004563', 'ds003574', 'ds004635', 'ds004040', 'ds004395', 'ds004771', 'ds003775', 'ds004577', 'ds003478', 'ds004186', 'ds004802', 'ds004408', 'ds004148', 'ds004279', 'ds004284']",23,23,0,0.5313880580922832
"CP Da Silva, S Tedesco, B O'Flynn","['ds004000', 'ds003768', 'ds003474', 'ds003944', 'ds003947', 'ds003478', 'ds003509', 'ds003522', 'ds002778', 'ds003506']",10,10,52,0.6178632846772671
"C Peres da Silva, S Tedesco, B O'Flynn","['ds003768', 'ds003474', 'ds004000', 'ds003478', 'ds003944', 'ds003947', 'ds003509', 'ds003522', 'ds002778', 'ds003506']",10,10,0,0.6170865318775178
"Q Xiao, Z Cui, C Zhang, S Chen, W Wu","['ds004078', 'ds003555', 'ds003682', 'ds005511', 'ds005506', 'ds005509', 'ds004357', 'ds004212', 'ds004330', 'ds004107']",10,10,0,0.5830872276574374
"SY Shirazi, A Franco, M Scopel Hoffmann, NB Esper","['ds005512', 'ds005508', 'ds005507', 'ds005506', 'ds005514', 'ds005510', 'ds005509', 'ds005511', 'ds005505']",9,9,0,0.9052208595474562
"A Delorme, D Truong","['ds003082', 'ds003190', 'ds003004', 'ds002181', 'ds003195', 'ds003194', 'ds000248']",7,7,76,0.6531670403480531
"Y Wang, N Huang, N Mammone, M Cecchi","['ds003775', 'ds004584', 'ds003478', 'ds004796', 'ds005385', 'ds005048', 'ds004504']",7,7,0,0.6030470694601537
"I Daly, N Nicolaou, D Williams, F Hwang, A Kirke","['ds002720', 'ds002725', 'ds002722', 'ds002724', 'ds002723', 'ds002721']",6,6,146,0.763044422119856
"Z Yuan, F Shen, M Li, Y Yu, C Tan, Y Yang","['ds003478', 'ds004504', 'ds002778', 'ds003775', 'ds004902', 'ds004080']",6,6,21,0.49046874038875105
"A Zanola, F Del Pup, C Porcaro","['ds003421', 'ds004186', 'ds004621', 'ds004504', 'ds002778', 'ds004148']",6,6,5,0.6575105960667134
"A Kirke, E Miranda, SJ Nasuto","['ds002720', 'ds002722', 'ds002723', 'ds002724', 'ds002725', 'ds002721']",6,6,0,0.7744736909866334
"F Del Pup, A Zanola, LF Tshimanga","['ds004504', 'ds004362', 'ds004148', 'ds004902', 'ds002778']",5,5,3,0.6465923298597336
J HATALA,"['ds003670', 'ds004504', 'ds003739', 'ds003474', 'ds003690']",5,5,0,0.49593292593955995
"B Prakash, GK Baboo, V Baths","['ds003474', 'ds003655', 'ds003519', 'ds003565']",4,4,27,0.5151351831480862
