year,total_citations,cumulative_citations,high_confidence_citations,datasets_with_citations
1950,1,1,0,1
1978,1,2,0,1
1994,3,5,0,1
1999,2,7,0,2
2000,2,9,0,2
2001,1,10,0,1
2002,2,12,0,1
2003,1,13,0,1
2004,3,16,0,3
2005,2,18,0,1
2006,3,21,0,1
2007,4,25,0,1
2008,2,27,0,2
2009,4,31,0,4
2010,8,39,0,3
2011,9,48,0,2
2012,12,60,0,4
2013,10,70,0,3
2014,11,81,0,2
2015,9,90,1,4
2016,5,95,0,2
2017,6,101,3,3
2018,23,124,13,7
2019,37,161,14,20
2020,30,191,24,21
2021,99,290,79,61
2022,127,417,112,83
2023,180,597,155,108
2024,309,906,257,134
2025,204,1110,170,111
