embedding_id,cluster,umap_x,umap_y
dataset_ds003061,0,8.97452,4.244669
dataset_ds004212,0,7.924169,4.9156446
dataset_ds004770,0,9.492549,3.6027722
dataset_ds002778,0,10.0819025,5.165965
dataset_ds004127,0,11.727492,3.7768767
dataset_ds004515,0,10.516057,3.4979022
dataset_ds003805,1,8.73584,8.616548
dataset_ds003766,0,9.698041,4.456903
dataset_ds003343,0,8.893922,4.3321633
dataset_ds005960,0,8.384378,3.1774864
dataset_ds003838,0,9.730258,3.4820085
dataset_ds003885,0,8.6506,2.7857502
dataset_ds004595,0,10.449478,3.4776971
dataset_ds002691,0,8.375115,3.1258433
dataset_ds003801,0,8.111819,3.127428
dataset_ds004511,0,9.234394,4.368774
dataset_ds002181,0,10.059588,5.083171
dataset_ds003816,0,9.711684,5.232925
dataset_ds003775,0,9.4285345,5.0904765
dataset_ds004398,0,7.322565,4.6376543
dataset_ds004262,0,10.210124,2.7551336
dataset_ds003082,0,7.214133,4.471713
dataset_ds004784,0,8.884432,5.33175
dataset_ds004572,0,9.100315,4.5075774
dataset_ds005170,0,7.5366697,4.095669
dataset_ds004408,0,7.296492,3.3616211
dataset_ds002550,0,7.345002,4.81289
dataset_ds003848,0,12.214459,4.460328
dataset_ds003655,0,9.500822,2.9417014
dataset_ds002722,0,6.3006406,3.5262017
dataset_ds004561,0,6.841192,5.240188
dataset_ds004080,0,11.716172,4.24526
dataset_ds004860,0,10.533971,2.5045466
dataset_ds004276,0,6.9997525,4.814927
dataset_ds004703,0,9.190099,4.90183
dataset_ds003570,0,6.8655505,3.3205843
dataset_ds003420,0,8.715225,4.1943045
dataset_ds003702,0,9.373485,3.4394505
dataset_ds000248,0,7.2076635,5.069693
dataset_ds002725,0,6.4126124,3.480124
dataset_ds003876,0,12.391495,4.6787124
dataset_ds005411,0,9.416043,3.1564853
dataset_ds005034,0,9.56792,2.8356152
dataset_ds005385,0,9.471987,5.056015
dataset_ds003645,0,7.6380897,5.242146
dataset_ds003574,0,9.687644,1.7563242
dataset_ds005305,0,9.808348,5.473497
dataset_ds006036,0,9.41249,8.341566
dataset_ds004657,2,11.546829,2.2760327
dataset_ds004388,0,11.461838,4.158654
dataset_ds002718,0,7.61091,5.225838
dataset_ds003922,0,7.2021317,4.715844
dataset_ds005415,0,9.763769,4.448295
dataset_ds005545,0,8.578115,4.063999
dataset_ds004017,0,8.342897,3.5056245
dataset_ds004147,0,10.426893,2.8737717
dataset_ds002721,0,6.3418775,3.5239363
dataset_ds006018,3,5.231356,7.1309247
dataset_ds004000,0,9.327988,4.4445424
dataset_ds002158,0,10.371828,2.4168422
dataset_ds005508,3,5.031676,7.262286
dataset_ds004356,0,7.007938,3.3456235
dataset_ds003517,0,9.764207,4.938092
dataset_ds003688,0,8.235211,4.875748
dataset_ds004446,0,6.2171803,4.052406
dataset_ds004883,2,11.934837,1.8173351
dataset_ds004295,0,10.578162,2.8826566
dataset_ds005697,0,8.478733,4.1948366
dataset_ds004944,0,12.405126,4.707717
dataset_ds005079,0,9.208901,4.346146
dataset_ds003626,0,7.169743,3.7766838
dataset_ds005107,0,8.432205,5.6087008
dataset_ds004505,0,9.650605,3.8465595
dataset_ds004067,0,10.55938,2.4169693
dataset_ds005506,3,5.0514674,7.244844
dataset_ds004521,0,9.191503,2.7672753
dataset_ds004043,0,8.544242,3.0435421
dataset_ds004809,0,9.394998,3.0678384
dataset_ds005511,3,5.0348415,7.2615666
dataset_ds003519,0,9.640204,3.4568965
dataset_ds001810,0,10.490916,4.013413
dataset_ds004448,0,6.2321925,4.047879
dataset_ds004977,0,11.643053,4.2045097
dataset_ds002885,0,8.782244,5.405659
dataset_ds004603,0,8.603738,3.752185
dataset_ds005624,0,7.0111356,5.1635566
dataset_ds004117,0,9.43843,3.2308242
